Issue,Period,Female,Male
1(1),Period (2002-2010),6,18
2(1),Period (2002-2010),3,6
2(2),Period (2002-2010),2,8
3(1),Period (2002-2010),3,8
3(2),Period (2002-2010),5,5
4(1),Period (2002-2010),4,5
4(2),Period (2002-2010),8,5
5(1),Period (2002-2010),5,8
5(2),Period (2002-2010),5,3
6(1),Period (2002-2010),2,8
6(2),Period (2002-2010),4,6
7(1-2),Period (2002-2010),4,15
8(1-2),Period (2002-2010),13,9
9(1),Period (2011-2022),0,2
9(2),Period (2011-2022),8,7
10(1),Period (2011-2022),3,7
10(2),Period (2011-2022),7,6
11(1-2),Period (2011-2022),11,9
12(1-2),Period (2011-2022),7,2
13(1-2),Period (2011-2022),3,3
14(1),Period (2011-2022),5,1
15(1),Period (2011-2022),6,4
16(1),Period (2011-2022),7,3
17(1),Period (2011-2022),7,3
